GENEID,BSS_1,BSS_2,BSS_3,M_1,M_2,M_3
LOC_Os01g16450,0,10.13943993,1.610692853,47.37148549,8.667104567,88.12205604
LOC_Os01g38244,339.9639458,395.4381573,365.6272776,561.8478512,751.6743415,545.6067725
LOC_Os12g03899,128.671613,168.9906655,126.7078378,278.7206007,261.5889742,312.1770709
LOC_Os11g25454,2.708876062,1.689906655,0.536897618,50.67647285,3.939592985,36.56127857
LOC_Os02g37030,1014.474085,844.9533275,957.2884523,1314.283307,1311.884464,1536.511169
LOC_Os01g51360,735.4598509,900.7202471,774.2063646,1245.980235,1404.858858,1039.652768
LOC_Os05g01210,242.4444076,209.5484252,255.563266,367.9552594,453.0531933,450.9224357
LOC_Os07g43580,0,1.689906655,0,22.03324907,7.091267373,30.93646648
LOC_Os12g40540,37.92426487,21.96878651,15.03313329,85.92967136,102.4294176,89.05952472
LOC_Os01g48650,20.31657047,15.20915989,24.16039279,66.0997472,86.67104567,84.37218132
LOC_Os09g31454,675.8645775,772.2873413,718.90591,1021.241094,1040.840467,1191.522694
LOC_Os12g01530,52.82308321,111.5338392,43.48870703,282.0255881,279.7111019,82.49724395
LOC_Os01g61350,55.53195927,21.96878651,32.21385706,136.6061442,148.9166148,80.62230659
LOC_Os02g06830,29.79763668,16.89906655,4.295180941,113.4712327,66.97308074,71.24761978
LOC_Os09g28220,339.9639458,383.6088107,318.3802873,588.2877501,674.458319,495.9209324
LOC_Os10g36360,9.481066217,1.689906655,13.42244044,41.86317323,60.66973197,64.68533901
LOC_Os10g37830,1545.413793,1360.374857,1181.711656,2100.870299,1837.426168,1967.746762
LOC_Os12g01210,16.25325637,10.13943993,12.88554282,99.1496208,97.70190603,19.68684231
LOC_Os04g55600,39.2787029,25.34859982,46.71009274,115.6745576,89.82272006,149.0575203
LOC_Os04g56980,671.8012634,797.6359412,486.4292416,956.2430095,1189.757081,1024.653269
LOC_Os10g37110,125.9627369,216.3080518,151.9420258,419.7333947,283.6506949,308.4271961
LOC_Os03g60350,6.772190155,5.069719965,12.34864521,51.77813531,26.7892323,83.43471264
LOC_Os02g37970,65.01302549,62.52654623,67.64909982,171.8593427,198.5554864,122.8083972
LOC_Os04g34610,65.01302549,50.69719965,93.95708309,160.8427182,192.2521377,179.0565181
LOC_Os08g07774,189.6213243,72.66598616,103.0843426,294.143875,190.6763005,423.7358439
LOC_Os09g24460,239.7355315,174.0603855,209.3900709,500.1547538,329.3499735,360.9254423
LOC_Os12g13910,27.08876062,76.04579947,48.32078559,102.4546082,200.9192422,153.7448637
LOC_Os01g03660,16.25325637,28.72841313,20.40210947,99.1496208,148.9166148,33.74887253
LOC_Os01g54600,518.7497659,508.6619032,306.5685397,635.6592356,750.0985043,965.5927417
LOC_Os01g05500,1340.893651,1166.035592,995.4081831,1684.441891,1862.639563,1595.571696
LOC_Os03g04390,195.0390765,153.7815056,109.527114,349.2269977,256.073544,340.3011313
LOC_Os03g61310,25.73432259,45.62747968,43.48870703,105.7595955,101.641499,146.2451143
LOC_Os12g05609,1.354438031,10.13943993,8.590361882,55.08312267,55.15430179,35.62380989
LOC_Os12g05709,1.354438031,10.13943993,8.590361882,55.08312267,55.15430179,35.62380989
LOC_Os03g59470,132.734927,246.7263716,195.4307328,407.6151077,367.1700662,348.7383494
LOC_Os07g37580,82.62071989,72.66598616,140.6671758,232.4507777,282.8627763,189.3686736
LOC_Os03g53540,47.40533109,32.10822644,23.62349518,62.79475984,152.0682892,134.9954901
LOC_Os02g42700,637.9403126,588.0875159,543.3403891,955.1413471,792.6461086,989.0294588
LOC_Os09g19850,75.84852974,99.70449264,83.75602835,186.1809546,282.8627763,149.994989
LOC_Os04g54420,128.671613,50.69719965,206.1686852,343.7186854,323.8345434,298.1150407
LOC_Os10g32730,326.4195655,312.6327312,275.4284779,889.0415998,456.2048677,419.0485005
LOC_Os04g47140,29.79763668,128.4329058,37.04593562,114.5728951,197.7675678,329.0515071
LOC_Os11g26130,142.2159933,123.3631858,132.6137116,230.2474527,251.3460324,331.8639132
LOC_Os11g06910,51.46864518,47.31738634,39.73042371,148.7244312,156.7958008,89.05952472
LOC_Os04g16804,33.86095078,13.51925324,11.27484997,85.92967136,88.24688286,70.3101511
LOC_Os07g25006,33.86095078,13.51925324,11.27484997,85.92967136,88.24688286,70.3101511
LOC_Os08g15252,33.86095078,13.51925324,11.27484997,85.92967136,88.24688286,70.3101511
LOC_Os10g21366,33.86095078,13.51925324,11.27484997,85.92967136,88.24688286,70.3101511
LOC_Os05g10670,403.6225333,373.4693708,268.9857064,605.9143493,517.6625182,676.8523879
LOC_Os11g07922,46.05089306,10.13943993,27.91867612,84.82800891,194.6158935,65.62280769
LOC_Os01g59020,13.54438031,1.689906655,0.536897618,89.23465872,60.66973197,13.12456154
LOC_Os03g47560,1.354438031,0,1.610692853,13.21994944,45.69927863,15.93696758
LOC_Os04g51350,6.772190155,0,20.40210947,87.03133381,61.45765057,54.37318351
LOC_Os03g52310,325.0651275,424.1665704,365.09038,642.2692103,657.9120285,539.9819604
LOC_Os02g50620,763.9030495,633.7149956,604.0098199,1312.079982,1096.782687,815.5977527
LOC_Os07g23200,8.126628186,45.62747968,17.71762138,85.92967136,68.54891794,148.1200516
LOC_Os01g73630,5.417752124,72.66598616,38.11973085,171.8593427,163.0991496,120.9334599
LOC_Os04g58020,251.9254738,168.9906655,339.3192944,463.7998929,510.5712509,466.8594033
LOC_Os03g56330,203.1657047,150.4016923,276.5022731,431.8516817,468.0236466,334.6763192
LOC_Os08g39694,109.7094805,150.4016923,156.7741044,221.4341531,360.0787988,286.8654165
LOC_Os09g17480,0,0,5.368976176,41.86317323,33.88049967,27.18659176
LOC_Os09g28770,4.063314093,0,0,29.74488624,12.60669755,45.93596538
LOC_Os10g04620,63.65858746,109.8439326,84.29292597,209.3158661,197.7675678,185.6187989
LOC_Os03g56000,503.8509476,648.9241555,377.9759228,858.1950512,877.7413171,789.3486296
LOC_Os07g29770,158.4692496,99.70449264,151.9420258,376.768559,272.6198346,225.9299522
LOC_Os07g37010,111.0639185,116.6035592,90.19879976,241.2640773,227.7084745,203.4307038
LOC_Os02g43340,1.354438031,1.689906655,17.71762138,52.87979776,53.5784646,68.43521373
LOC_Os03g13730,119.1905467,157.1613189,118.6543735,318.380449,226.9205559,262.4912308
LOC_Os04g17500,0,0,2.684488088,52.87979776,39.39592985,1.874937363
LOC_Os05g50950,17.6076944,87.87514606,41.87801418,244.5690646,92.18647585,163.1195505
LOC_Os06g07760,92.10178611,74.35589282,103.6212402,200.5025665,178.0696029,228.7423582
LOC_Os09g24670,46.05089306,106.4641193,98.25226403,202.7058914,285.2265321,151.8699264
LOC_Os01g03950,23.02544653,6.75962662,2.684488088,31.94821115,126.0669755,50.62330879
LOC_Os10g34180,743.586479,686.1021019,680.7861792,963.9546467,1144.057803,1030.278081
LOC_Os01g01160,100.2284143,84.49533275,47.78388797,198.2992416,181.2212773,184.6813302
LOC_Os02g51850,167.9503159,184.1998254,227.6445899,398.8018081,353.7754501,326.2391011
LOC_Os03g63074,27.08876062,20.27887986,22.54969994,103.5562706,57.51805758,93.74686813
LOC_Os09g25760,1920.593128,2980.995339,2475.098017,3216.854364,3020.879901,5709.184269
LOC_Os03g47500,300.6852429,463.0344235,280.2605564,638.9642229,548.3913435,621.5417357
LOC_Os07g42250,97.51953824,54.07701296,69.25979268,228.0441278,226.9205559,114.3711791
LOC_Os04g01780,300.6852429,126.7429991,158.9216948,341.5153605,480.6303442,398.4241895
LOC_Os06g05400,31.15207471,18.5889732,9.664157118,118.979545,66.97308074,61.87293297
LOC_Os01g04990,71.78521565,42.24766637,58.52184032,136.6061442,168.6145798,141.5577709
LOC_Os09g24710,29.79763668,130.1228124,86.44051644,317.2787866,148.1286962,234.3671703
LOC_Os01g51980,121.8994228,13.51925324,16.64382615,252.2807018,168.6145798,173.431706
LOC_Os06g07550,85.32959596,206.1686119,197.0414257,355.8369724,365.594229,319.6768203
LOC_Os03g05310,780.1563059,983.5256732,470.8592107,1092.849154,1435.587684,1239.333597
LOC_Os07g49460,4270.543112,3063.800765,3497.351081,5630.596799,5444.517505,4331.105308
LOC_Os02g09630,0,0,1.610692853,17.62659925,28.36506949,21.56177967
LOC_Os12g04990,37.92426487,15.20915989,63.8908165,134.4028193,121.3394639,134.9954901
LOC_Os06g48560,41.98757896,42.24766637,17.18072376,125.5895197,99.27774322,102.1840863
LOC_Os11g43510,63.65858746,92.94486602,74.62876885,157.5377308,180.4333587,198.7433604
LOC_Os02g19650,438.8379221,554.2893828,326.9706491,809.7219032,673.6704004,722.7883533
LOC_Os12g38490,831.6249511,1034.222873,794.0715765,1395.806328,1571.109682,1097.775826
LOC_Os11g07230,18.96213243,32.10822644,20.93900709,66.0997472,145.7649404,59.9979956
LOC_Os03g60920,589.1805435,385.2987173,441.3298417,779.977017,743.007237,766.8493813
LOC_Os01g09100,0,15.20915989,18.79141662,56.18478512,30.72882528,155.6198011
LOC_Os03g14580,58.24083534,49.00729299,44.02560465,128.894507,174.9179285,104.0590236
LOC_Os12g37550,41.98757896,59.14673292,63.35391888,191.6892669,202.4950794,77.80990055
LOC_Os12g09089,166.5958778,219.6878651,166.9751591,464.9015553,324.622462,282.1780731
LOC_Os07g46780,12.18994228,28.72841313,5.905873794,91.43798363,78.7918597,48.74837143
LOC_Os04g36660,879.0302822,599.9168625,565.3531914,1046.579331,1078.660559,1084.651264
LOC_Os08g25864,65.01302549,70.97607951,46.17319512,127.7928446,161.5233124,165.9319566
LOC_Os08g37810,816.7261327,694.5516352,778.5015456,1106.069103,1304.005278,1014.341113
LOC_Os01g01484,90.74734808,50.69719965,195.4307328,416.4284074,265.5285672,209.0555159
LOC_Os03g12700,16.25325637,13.51925324,15.03313329,51.77813531,130.0065685,32.81140385
LOC_Os10g35990,549.9018406,539.0802229,586.8290961,788.7903166,844.648736,900.9074027
