"","ID","treat1","time","treat2","group","N","value","sd","se","ci"
"1","id","DAB","0","CK","DAB_CK",4,20.6298034806682,5.7474935882974,2.8737467941487,9.14554486735943
"2","id","DAB","0","HL","DAB_HL",4,24.9699442705983,2.8757646863279,1.43788234316395,4.5759833504348
"3","id","DAB","10","CK","DAB_CK",4,33.8251070218995,5.42612120952711,2.71306060476356,8.63416969764056
"4","id","DAB","10","HL","DAB_HL",4,66.9442478477282,14.6139925158949,7.30699625794743,23.2541232438267
"5","id","DAB","15","CK","DAB_CK",4,37.0937974750037,15.842258607748,7.92112930387402,25.2085686867884
"6","id","DAB","15","HL","DAB_HL",4,71.0699646112242,16.3080734039629,8.15403670198146,25.9497839753686
"7","id","DAB","20","CK","DAB_CK",4,40.0194556311046,5.84942623428827,2.92471311714414,9.30774245367015
"8","id","DAB","20","HL","DAB_HL",4,76.3526310346892,9.50371506168715,4.75185753084357,15.1225314422677
"9","id","DAB","30","CK","DAB_CK",4,46.2840641552422,2.88825967272765,1.44412983636382,4.59586566208602
"10","id","DAB","30","HL","DAB_HL",4,79.2223233889775,10.1513866160112,5.07569330800558,16.1531214148156
"11","id","DAB","5","CK","DAB_CK",4,32.7635437113832,7.53651138786381,3.76825569393191,11.9922714105179
"12","id","DAB","5","HL","DAB_HL",4,47.3855893677735,8.67110027713234,4.33555013856617,13.7976555198522
"13","id","DAB","60","CK","DAB_CK",4,52.1552465374434,11.7674872130732,5.88374360653658,18.724698101859
"14","id","DAB","60","HL","DAB_HL",4,86.7752874033812,14.393278138055,7.19663906902748,22.9029174156869
"15","id","EGTA","0","CK","EGTA_CK",4,24.547617171777,3.72828673901181,1.86414336950591,5.93253617880319
"16","id","EGTA","0","HL","EGTA_HL",4,26.0687453407102,6.7325670221293,3.36628351106465,10.7130165223252
"17","id","EGTA","10","CK","EGTA_CK",4,28.7862572867632,6.99960746767872,3.49980373383936,11.1379374619752
"18","id","EGTA","10","HL","EGTA_HL",4,37.0252798618136,10.592526208116,5.296263104058,16.8550729473198
"19","id","EGTA","15","CK","EGTA_CK",4,32.1238654109515,6.94783480041912,3.47391740020956,11.0555555951577
"20","id","EGTA","15","HL","EGTA_HL",4,44.3668939109855,14.6364068083241,7.31820340416203,23.2897893848901
"21","id","EGTA","20","CK","EGTA_CK",4,31.7864234912136,4.14108668461429,2.07054334230715,6.58939300965515
"22","id","EGTA","20","HL","EGTA_HL",4,45.4736930175589,10.2925005049163,5.14625025245814,16.3776651020007
"23","id","EGTA","30","CK","EGTA_CK",4,31.7145027722057,12.0385590133879,6.01927950669395,19.1560338265481
"24","id","EGTA","30","HL","EGTA_HL",4,52.891017679961,6.4895338780852,3.2447669390426,10.3262965566628
"25","id","EGTA","5","CK","EGTA_CK",4,29.2965727154043,9.14076899599799,4.57038449799899,14.5450032593828
"26","id","EGTA","5","HL","EGTA_HL",4,33.6450794384712,9.60485098314821,4.8024254915741,15.2834612620603
"27","id","EGTA","60","CK","EGTA_CK",4,40.9687855039377,4.95104568146638,2.47552284073319,7.87821851813678
"28","id","EGTA","60","HL","EGTA_HL",4,57.7089667670026,8.25969271202477,4.12984635601239,13.143014277081
