Target,Sample,RQ
OsRBOHI,G_BSS_2_b,1.773114794
OsRBOHI,G_BSS_2_c,33.39053555
OsRBOHI,G_BSS_3_a,32.67498322
OsRBOHI,G_BSS_3_b,16.38066059
OsRBOHI,G_BSS_3_c,27.28353206
OsRBOHI,G_M_1_a,7.547143346
OsRBOHI,G_M_1_b,9.211367779
OsRBOHI,G_M_1_c,9.603588305
OsRBOHI,G_M_2_a,1.489275295
OsRBOHI,G_M_2_b,1.669960789
OsRBOHI,G_M_2_c,5.291514537
OsRBOHI,G_M_3_a,9.560831124
OsRBOHI,G_M_3_b,9.836171517
OsRBOHI,G_M_3_c,5.606191654
OsRBOHC,E_BSS_1_a,21.31991202
OsRBOHC,E_BSS_1_b,25.08523048
OsRBOHC,E_BSS_1_c,11.68438205
OsRBOHC,E_BSS_2_a,9.634461274
OsRBOHC,E_BSS_2_b,20.12687494
OsRBOHC,E_BSS_2_c,27.2610687
OsRBOHC,E_BSS_3_a,20.23775177
OsRBOHC,E_BSS_3_b,10.08820773
OsRBOHC,E_BSS_3_c,36.25710399
OsRBOHC,E_M_1_a,2.297314116
OsRBOHC,E_M_1_b,4.94648316
OsRBOHC,E_M_1_c,5.543495306
OsRBOHC,E_M_2_a,5.52485892
OsRBOHC,E_M_2_b,4.434351395
OsRBOHC,E_M_2_c,7.725966731
OsRBOHC,E_M_3_a,3.28227471
OsRBOHC,E_M_3_b,8.073140163
OsRBOHC,E_M_3_c,15.63329088
OsRBOHC,G_BSS_1_a,27.76118727
OsRBOHC,G_BSS_1_b,15.17636788
OsRBOHC,G_BSS_1_c,24.17328797
OsRBOHC,G_BSS_2_a,17.86802326
OsRBOHC,G_BSS_2_b,21.20949306
OsRBOHC,G_BSS_2_c,22.95579758
OsRBOHC,G_BSS_3_a,51.49514898
OsRBOHC,G_BSS_3_b,0.973296474
OsRBOHC,G_BSS_3_c,24.78638104
OsRBOHC,G_M_1_a,4.751700285
OsRBOHC,G_M_1_b,10.07927249
OsRBOHC,G_M_1_c,4.488521286
OsRBOHC,G_M_2_a,2.280559153
OsRBOHC,G_M_2_b,2.164796483
OsRBOHC,G_M_2_c,5.065135703
OsRBOHC,G_M_3_a,5.037565179
OsRBOHC,G_M_3_b,17.50281607
OsRBOHC,G_M_3_c,5.057899889
OsRBOHA,E_BSS_1_a,3984.040037
OsRBOHA,E_BSS_1_b,4016.873481
OsRBOHA,E_BSS_1_c,2036.211217
OsRBOHA,E_BSS_2_a,1565.716882
OsRBOHA,E_BSS_2_b,621.9371086
OsRBOHA,E_BSS_2_c,2907.676334
OsRBOHA,E_BSS_3_a,4180.117035
OsRBOHA,E_BSS_3_b,5540.56572
OsRBOHA,E_BSS_3_c,2715.906985
OsRBOHA,E_M_1_a,4.081017253
OsRBOHA,E_M_1_b,1.626209034
OsRBOHA,E_M_1_c,3.778797759
OsRBOHA,E_M_2_a,3.084884516
OsRBOHA,E_M_2_b,6.03530826
OsRBOHA,E_M_2_c,8.68658911
OsRBOHA,E_M_3_a,1.852520292
OsRBOHA,E_M_3_b,2.362798007
OsRBOHA,E_M_3_c,2.092159472
OsRBOHA,G_BSS_1_a,5995.125096
OsRBOHA,G_BSS_1_b,4042.273341
OsRBOHA,G_BSS_1_c,2290.318015
OsRBOHA,G_BSS_2_a,8389.840346
OsRBOHA,G_BSS_2_b,3897.675699
OsRBOHA,G_BSS_2_c,9019.173543
OsRBOHA,G_BSS_3_a,5266.83076
OsRBOHA,G_BSS_3_b,9995.885705
OsRBOHA,G_BSS_3_c,2880.319014
OsRBOHA,G_M_1_a,5.414014527
OsRBOHA,G_M_1_b,4.748063279
OsRBOHA,G_M_1_c,8.980322727
OsRBOHA,G_M_2_a,6.285042637
OsRBOHA,G_M_2_b,6.294864404
OsRBOHA,G_M_2_c,3.296567053
OsRBOHA,G_M_3_a,3.408058176
OsRBOHA,G_M_3_b,8.369118583
OsRBOHA,G_M_3_c,13.98072943
