,Distance,Treatment,time,mean,se
199,22.759,high light,0 min,38.189625,2.630113017
200,22.874,high light,0 min,38.11415,2.558146484
201,22.989,high light,0 min,38.2044,2.607193195
202,23.103,high light,0 min,38.25735,2.662103644
203,23.218,high light,0 min,38.0766,2.518457844
204,23.333,high light,0 min,38.2392,2.675697947
205,23.448,high light,0 min,38.164,2.58808867
206,23.563,high light,0 min,38.279825,2.681138287
207,23.678,high light,0 min,38.3421,2.722156577
208,23.793,high light,0 min,38.231875,2.653170612
209,23.908,high light,0 min,38.4309,2.836278086
210,24.023,high light,0 min,38.3093,2.717379159
211,24.138,high light,0 min,38.472975,2.76914941
212,24.253,high light,0 min,38.545875,2.717226681
213,24.368,high light,0 min,38.44825,2.622195041
214,24.483,high light,0 min,38.609775,2.737261818
215,24.598,high light,0 min,38.447425,2.596859359
216,24.713,high light,0 min,38.624875,2.714444303
217,24.828,high light,0 min,38.6684,2.700551703
218,24.943,high light,0 min,38.65035,2.661056529
219,25.057,high light,0 min,38.8581,2.763336321
220,25.172,high light,0 min,38.686025,2.640215344
221,25.287,high light,0 min,38.7922,2.754974808
222,25.402,high light,0 min,38.67155,2.730982429
223,25.517,high light,0 min,38.57935,2.740945167
224,25.632,high light,0 min,38.621375,2.832951635
225,25.747,high light,0 min,38.3418,2.729039683
226,25.862,high light,0 min,38.402625,2.847100216
227,25.977,high light,0 min,38.1719,2.766392225
228,26.092,high light,0 min,38.117375,2.783251507
229,26.207,high light,0 min,38.139275,2.887485165
230,26.322,high light,0 min,37.902325,2.765000005
231,26.437,high light,0 min,38.105,2.952846566
232,26.552,high light,0 min,37.985525,2.88374181
233,26.667,high light,0 min,38.0549,2.899736817
234,26.782,high light,0 min,38.07495,2.946755974
235,26.897,high light,0 min,37.889675,2.823815867
236,27.011,high light,0 min,37.944725,2.97465178
237,27.126,high light,0 min,37.633125,2.827938317
238,27.241,high light,0 min,37.5645,2.842090254
239,27.356,high light,0 min,37.449725,2.828517425
240,27.471,high light,0 min,37.217875,2.678886222
241,27.586,high light,0 min,37.226575,2.813578968
242,27.701,high light,0 min,36.9482,2.647660251
243,27.816,high light,0 min,36.987725,2.75315238
244,27.931,high light,0 min,36.91815,2.736076477
245,28.046,high light,0 min,36.756975,2.631504694
246,28.161,high light,0 min,36.825025,2.804624517
247,28.276,high light,0 min,36.571475,2.633986039
248,28.391,high light,0 min,36.607,2.769389065
249,28.506,high light,0 min,36.52635,2.763938824
250,28.621,high light,0 min,36.404225,2.796882098
251,28.736,high light,0 min,36.544225,3.022821801
252,28.851,high light,0 min,36.410675,2.938519408
253,28.966,high light,0 min,36.59665,3.116937049
254,29.08,high light,0 min,36.605475,3.077739959
255,29.195,high light,0 min,36.619,3.110928224
256,29.31,high light,0 min,36.82635,3.259547937
257,29.425,high light,0 min,36.70605,3.16276359
258,29.54,high light,0 min,36.899425,3.377575401
259,29.655,high light,0 min,36.8004,3.334168361
260,29.77,high light,0 min,36.787475,3.395817532
261,29.885,high light,0 min,36.857975,3.517463781
262,30,high light,0 min,36.630675,3.398710334
263,30.115,high light,0 min,36.7411,3.56120026
264,30.23,high light,0 min,36.580025,3.477031926
265,30.345,high light,0 min,36.640775,3.560269941
266,30.46,high light,0 min,36.7151,3.649850523
267,30.575,high light,0 min,36.571175,3.549508147
268,30.69,high light,0 min,36.748975,3.740733428
269,30.805,high light,0 min,36.5724,3.615478359
270,30.92,high light,0 min,36.633925,3.692301309
271,31.034,high light,0 min,36.551475,3.708310815
272,31.149,high light,0 min,36.335175,3.581210517
273,31.264,high light,0 min,36.44185,3.752635909
274,31.379,high light,0 min,36.206275,3.566757918
275,31.494,high light,0 min,36.31125,3.641134849
276,31.609,high light,0 min,36.246025,3.62219866
277,31.724,high light,0 min,36.10625,3.516396111
278,31.839,high light,0 min,36.1644,3.666543138
279,31.954,high light,0 min,35.8945,3.510930952
280,32.069,high light,0 min,35.8727,3.631087378
281,32.184,high light,0 min,35.640275,3.560945566
282,32.299,high light,0 min,35.415425,3.473486592
283,32.414,high light,0 min,35.351025,3.579165016
284,32.529,high light,0 min,35.000175,3.356350076
285,32.644,high light,0 min,34.943825,3.466273016
286,32.759,high light,0 min,34.656025,3.337090866
287,32.874,high light,0 min,34.4586,3.297399546
288,32.989,high light,0 min,34.440375,3.420651855
289,33.103,high light,0 min,34.140325,3.255544328
290,33.218,high light,0 min,34.20825,3.454625611
291,33.333,high light,0 min,34.02295,3.386565872
292,33.448,high light,0 min,33.9049,3.405447232
293,33.563,high light,0 min,33.882325,3.458669032
294,33.678,high light,0 min,33.686125,3.318225523
295,33.793,high light,0 min,33.818875,3.48085856
296,33.908,high light,0 min,33.721025,3.391141514
297,34.023,high light,0 min,33.8094,3.478173489
298,34.138,high light,0 min,33.925025,3.536128296
299,34.253,high light,0 min,33.7709,3.405358375
300,34.368,high light,0 min,33.9926,3.581133527
301,34.483,high light,0 min,33.921975,3.436053765
302,34.598,high light,0 min,34.146875,3.497436007
303,34.713,high light,0 min,34.289025,3.482186208
304,34.828,high light,0 min,34.22295,3.352418511
305,34.943,high light,0 min,34.4447,3.48160134
306,35.057,high light,0 min,34.33375,3.294553607
307,35.172,high light,0 min,34.531075,3.355766547
308,35.287,high light,0 min,34.58765,3.301224188
309,35.402,high light,0 min,34.58185,3.186425832
310,35.517,high light,0 min,34.796675,3.294413056
311,35.632,high light,0 min,34.635225,3.088507639
312,35.747,high light,0 min,34.8416,3.189012011
313,35.862,high light,0 min,34.802425,3.095185492
314,35.977,high light,0 min,34.798925,2.991744021
315,36.092,high light,0 min,34.96935,3.082134433
316,36.207,high light,0 min,34.79425,2.883214145
317,36.322,high light,0 min,34.962125,3.027657023
318,36.437,high light,0 min,34.819125,2.943033236
319,36.552,high light,0 min,34.75265,2.888733542
320,36.667,high light,0 min,34.817175,2.92814086
321,36.782,high light,0 min,34.647725,2.699318129
322,36.897,high light,0 min,34.818025,2.800057939
323,37.011,high light,0 min,34.7306,2.674465138
324,37.126,high light,0 min,34.7955,2.712932592
325,37.241,high light,0 min,34.9311,2.807471484
326,37.356,high light,0 min,34.84895,2.657562958
327,37.471,high light,0 min,35.1176,2.850077964
328,37.586,high light,0 min,35.045025,2.695645247
329,37.701,high light,0 min,35.075275,2.745862875
330,37.816,high light,0 min,35.089075,2.790857946
331,37.931,high light,0 min,34.926575,2.68586176
332,38.046,high light,0 min,35.12095,2.892978321
333,38.161,high light,0 min,34.998625,2.765167999
334,38.276,high light,0 min,35.1354,2.890501932
335,38.391,high light,0 min,35.218325,2.931548919
336,38.506,high light,0 min,35.11185,2.845087747
337,38.621,high light,0 min,35.3243,3.040207893
338,38.736,high light,0 min,35.17895,2.935281417
339,38.851,high light,0 min,35.350225,3.097138072
340,38.966,high light,0 min,35.422275,3.119046775
341,39.08,high light,0 min,35.4549,3.082677689
342,39.195,high light,0 min,35.780175,3.243548367
343,39.31,high light,0 min,35.731925,3.097366893
344,39.425,high light,0 min,36.042825,3.271381143
345,39.54,high light,0 min,36.11185,3.267081947
346,39.655,high light,0 min,36.2008,3.268326597
347,39.77,high light,0 min,36.4909,3.425732702
348,39.885,high light,0 min,36.42545,3.304231849
349,40,high light,0 min,36.71045,3.488707778
350,40.115,high light,0 min,36.677875,3.417090473
351,40.23,high light,0 min,36.6891,3.362921913
352,40.345,high light,0 min,36.790125,3.388187449
353,40.46,high light,0 min,36.6396,3.169689434
354,40.575,high light,0 min,36.828625,3.270562102
355,40.69,high light,0 min,36.6683,3.13365289
356,40.805,high light,0 min,36.710075,3.132948803
357,40.92,high light,0 min,36.709525,3.160097362
358,41.034,high light,0 min,36.444025,2.960643262
359,41.149,high light,0 min,36.5543,3.096137814
360,41.264,high light,0 min,36.355925,2.932763766
361,41.379,high light,0 min,36.440225,2.940785433
362,41.494,high light,0 min,36.513975,2.931570552
363,41.609,high light,0 min,36.45405,2.761648682
364,41.724,high light,0 min,36.70445,2.888058432
365,41.839,high light,0 min,36.560675,2.626991738
366,41.954,high light,0 min,36.624025,2.597862726
367,42.069,high light,0 min,36.604975,2.547500458
368,42.184,high light,0 min,36.471075,2.43333218
369,42.299,high light,0 min,36.59975,2.578275262
370,42.414,high light,0 min,36.31305,2.362956966
371,42.529,high light,0 min,36.29155,2.417007303
372,42.644,high light,0 min,36.168775,2.304836989
373,42.759,high light,0 min,36.02675,2.182590528
374,42.874,high light,0 min,36.1754,2.24624752
375,42.989,high light,0 min,35.924575,1.964181308
376,43.103,high light,0 min,36.019275,2.002914412
377,43.218,high light,0 min,35.922625,1.867828425
378,43.333,high light,0 min,35.8548,1.7776401
379,43.448,high light,0 min,36.0086,1.845697452
380,43.563,high light,0 min,35.784025,1.630520031
381,43.678,high light,0 min,35.900275,1.729559914
382,43.793,high light,0 min,35.752325,1.623682191
383,43.908,high light,0 min,35.70215,1.603518678
384,44.023,high light,0 min,35.724175,1.684051567
385,44.138,high light,0 min,35.384625,1.562911244
386,44.253,high light,0 min,35.448125,1.757469286
387,44.368,high light,0 min,35.1708,1.686316377
388,44.483,high light,0 min,35.0619,1.742830238
389,44.598,high light,0 min,34.919075,1.829433522
390,44.713,high light,0 min,34.4927,1.697547408
391,44.828,high light,0 min,34.49845,1.914269545
392,44.943,high light,0 min,34.142825,1.790277569
393,45.057,high light,0 min,34.0839,1.912950157
394,45.172,high light,0 min,33.932275,2.042909928
395,45.287,high light,0 min,33.561125,1.961301113
396,45.402,high light,0 min,33.42145,2.198843836
397,45.517,high light,0 min,32.87155,2.054389454
398,45.632,high light,0 min,32.6203,2.180203154
399,45.747,high light,0 min,32.275875,2.218964753
400,45.862,high light,0 min,31.909225,2.157768511
401,45.977,high light,0 min,31.845975,2.393898646
402,46.092,high light,0 min,31.405475,2.259862835
403,46.207,high light,0 min,31.266875,2.494607654
404,46.322,high light,0 min,30.93735,2.564091054
405,46.437,high light,0 min,30.58095,2.587132382
406,46.552,high light,0 min,30.463825,2.866499955
407,46.667,high light,0 min,29.938025,2.793976284
408,46.782,high light,0 min,29.74635,3.112174748
409,46.897,high light,0 min,29.311825,3.185067527
410,47.011,high light,0 min,28.88525,3.290134847
411,47.126,high light,0 min,28.674175,3.547246906
412,47.241,high light,0 min,28.16225,3.4475585
413,47.356,high light,0 min,28.049,3.705401298
414,47.471,high light,0 min,27.700325,3.689976048
415,47.586,high light,0 min,27.434925,3.774831989
416,47.701,high light,0 min,27.303125,3.951999555
417,47.816,high light,0 min,26.899975,3.847746179
418,47.931,high light,0 min,26.946025,4.105114526
419,48.046,high light,0 min,26.671475,4.046408385
420,48.161,high light,0 min,26.6145,4.159280966
421,48.276,high light,0 min,26.5952,4.289549181
422,48.391,high light,0 min,26.281225,4.192927551
423,48.506,high light,0 min,26.444125,4.44214489
424,48.621,high light,0 min,26.21105,4.314091609
425,48.736,high light,0 min,26.24115,4.402721255
426,48.851,high light,0 min,26.213075,4.452196117
427,48.966,high light,0 min,26.004125,4.365165944
428,49.08,high light,0 min,26.23435,4.61491258
429,49.195,high light,0 min,26.0842,4.517512705
430,49.31,high light,0 min,26.296275,4.708034348
431,49.425,high light,0 min,26.326475,4.800568949
432,49.54,high light,0 min,26.23545,4.793217577
433,49.655,high light,0 min,26.452375,5.062478474
434,49.77,high light,0 min,26.29555,4.973584166
435,49.885,high light,0 min,26.5173,5.217232153
436,50,high light,0 min,26.4823,5.261128671
437,50.115,high light,0 min,26.4201,5.250276818
438,50.23,high light,0 min,26.5858,5.460306924
439,50.345,high light,0 min,26.445325,5.304471777
440,50.46,high light,0 min,26.6906,5.48517615
441,50.575,high light,0 min,26.68285,5.426254641
442,50.69,high light,0 min,26.726375,5.418676527
443,50.805,high light,0 min,26.860725,5.588745694
444,50.92,high light,0 min,26.6725,5.442416836
445,51.034,high light,0 min,26.874475,5.683354397
446,51.149,high light,0 min,26.8054,5.609209374
447,51.264,high light,0 min,26.886175,5.663907182
448,51.379,high light,0 min,27.04395,5.796405806
449,51.494,high light,0 min,26.9092,5.642813873
450,51.609,high light,0 min,27.134325,5.930733145
451,51.724,high light,0 min,27.036675,5.846058079
452,51.839,high light,0 min,27.134625,5.921945477
453,51.954,high light,0 min,27.28085,5.973487253
454,52.069,high light,0 min,27.148275,5.797761523
455,52.184,high light,0 min,27.366375,6.017681411
456,52.299,high light,0 min,27.2631,5.891243624
457,52.414,high light,0 min,27.42985,6.062002645
458,52.529,high light,0 min,27.581325,6.211219472
459,52.644,high light,0 min,27.509775,6.211406695
460,52.759,high light,0 min,27.73345,6.498333712
461,52.874,high light,0 min,27.57165,6.364695859
462,52.989,high light,0 min,27.7544,6.524112477
463,53.103,high light,0 min,27.7576,6.51654628
464,53.218,high light,0 min,27.573,6.38733467
465,53.333,high light,0 min,27.672675,6.533396294
466,53.448,high light,0 min,27.336625,6.281923979
467,53.563,high light,0 min,27.43985,6.380157414
468,53.678,high light,0 min,27.31295,6.256217016
469,53.793,high light,0 min,27.146125,6.073413996
470,53.908,high light,0 min,27.2196,6.129286132
471,54.023,high light,0 min,26.9563,5.879047198
472,54.138,high light,0 min,27.176925,6.029081058
473,54.253,high light,0 min,27.15285,5.924053994
474,54.368,high light,0 min,27.2177,5.89635069
475,54.483,high light,0 min,27.452,6.054164448
476,54.598,high light,0 min,27.36635,5.915834726
477,54.713,high light,0 min,27.64455,6.138566719
478,54.828,high light,0 min,27.556375,6.024829828
479,54.943,high light,0 min,27.6444,5.986965778
480,55.057,high light,0 min,27.74225,6.001573508
481,55.172,high light,0 min,27.630675,5.716851831
482,55.287,high light,0 min,27.8607,5.781659445
483,55.402,high light,0 min,27.733075,5.49006806
484,55.517,high light,0 min,27.798325,5.380046056
485,55.632,high light,0 min,27.837775,5.294028672
486,55.747,high light,0 min,27.712825,5.017868093
487,55.862,high light,0 min,27.9349,5.067129223
488,55.977,high light,0 min,27.871,4.769596796
489,56.092,high light,0 min,28.054,4.705981747
490,56.207,high light,0 min,28.189975,4.584314649
491,56.322,high light,0 min,28.1511,4.338656334
492,56.437,high light,0 min,28.405375,4.396265712
493,56.552,high light,0 min,28.242,4.097697733
494,56.667,high light,0 min,28.42745,4.078843892
495,56.782,high light,0 min,28.504375,3.920097364
496,56.897,high light,0 min,28.49945,3.697425496
497,57.011,high light,0 min,28.82395,3.710840097
498,57.126,high light,0 min,28.682525,3.407095929
499,57.241,high light,0 min,28.921825,3.37391264
500,57.356,high light,0 min,28.961175,3.194722746
501,57.471,high light,0 min,29.031875,3.067034737
502,57.586,high light,0 min,29.402225,3.090054953
503,57.701,high light,0 min,29.37145,2.894616785
504,57.816,high light,0 min,29.802125,2.929935486
505,57.931,high light,0 min,29.929975,2.795000407
506,58.046,high light,0 min,30.102525,2.684914832
507,58.161,high light,0 min,30.4147,2.633945202
508,58.276,high light,0 min,30.2958,2.462721754
509,58.391,high light,0 min,30.569175,2.430985949
510,58.506,high light,0 min,30.354225,2.250333509
511,58.621,high light,0 min,30.2778,2.077888513
512,58.736,high light,0 min,30.287675,1.915089138
513,58.851,high light,0 min,30.079675,1.738230042
514,58.966,high light,0 min,30.338475,1.657712418
515,59.08,high light,0 min,30.256925,1.593609861
516,59.195,high light,0 min,30.48435,1.558393397
517,59.31,high light,0 min,30.74755,1.549031533
518,59.425,high light,0 min,30.820025,1.610478144
519,59.54,high light,0 min,31.24985,1.600590713
520,59.655,high light,0 min,31.24245,1.74043639
521,59.77,high light,0 min,31.5188,1.751511087
522,59.885,high light,0 min,31.6015,1.735519678
523,60,high light,0 min,31.44645,1.732067961
524,60.115,high light,0 min,31.583175,1.530805298
525,60.23,high light,0 min,31.318125,1.60363449
526,60.345,high light,0 min,31.353575,1.464122746
527,60.46,high light,0 min,31.136825,1.43844054
528,60.575,high light,0 min,30.825225,1.447727776
529,60.69,high light,0 min,30.817325,1.260756744
530,60.805,high light,0 min,30.503175,1.399276641
531,60.92,high light,0 min,30.60345,1.261778157
532,61.034,high light,0 min,30.51065,1.31246516
533,61.149,high light,0 min,30.42195,1.373278338
534,61.264,high light,0 min,30.537125,1.322784271
535,61.379,high light,0 min,30.3389,1.530391529
536,61.494,high light,0 min,30.624875,1.530639459
537,61.609,high light,0 min,30.624275,1.689032247
538,61.724,high light,0 min,30.640075,1.825580097
539,61.839,high light,0 min,30.768275,1.839898941
540,61.954,high light,0 min,30.449075,1.950865301
541,62.069,high light,0 min,30.552025,1.825725565
542,62.184,high light,0 min,30.251925,1.817703165
543,62.299,high light,0 min,30.023125,1.749933893
544,62.414,high light,0 min,29.901425,1.600973531
545,62.529,high light,0 min,29.4805,1.51922626
546,62.644,high light,0 min,29.59265,1.276222803
547,62.759,high light,0 min,29.3113,1.111842657
548,62.874,high light,0 min,29.2678,0.888286533
549,62.989,high light,0 min,29.16985,0.699980319
550,63.103,high light,0 min,28.829075,0.590469527
551,63.218,high light,0 min,28.862525,0.629740104
552,63.333,high light,0 min,28.434525,0.65180593
553,63.448,high light,0 min,28.314125,0.840718774
554,63.563,high light,0 min,28.031225,1.054887175
555,63.678,high light,0 min,27.5838,1.234720941
556,63.793,high light,0 min,27.449925,1.601209585
557,63.908,high light,0 min,26.897825,1.7350556
558,64.023,high light,0 min,26.71385,1.966727044
559,64.138,high light,0 min,26.298725,2.114878218
560,64.253,high light,0 min,25.944175,2.145749784
561,64.368,high light,0 min,25.868425,2.401726999
562,64.483,high light,0 min,25.460775,2.416317547
563,64.598,high light,0 min,25.57065,2.72327792
564,64.713,high light,0 min,25.439475,2.875620938
565,64.828,high light,0 min,25.37825,2.959377969
566,64.943,high light,0 min,25.481425,3.151171636
567,65.057,high light,0 min,25.267025,2.994104741
568,65.172,high light,0 min,25.438325,3.13255494
569,65.287,high light,0 min,25.3064,2.989143437
570,65.402,high light,0 min,25.298925,2.891612492
571,65.517,high light,0 min,25.5115,2.888299876
572,65.632,high light,0 min,25.411125,2.699254916
573,65.747,high light,0 min,25.706575,2.794769486
574,65.862,high light,0 min,25.6929,2.720034126
575,65.977,high light,0 min,25.864,2.740685224
576,66.092,high light,0 min,26.0726,2.742330762
577,66.207,high light,0 min,25.9431,2.564426154
578,66.322,high light,0 min,26.18065,2.597013688
579,66.437,high light,0 min,25.93985,2.417272588
580,66.552,high light,0 min,25.8851,2.446234239
581,66.667,high light,0 min,25.768625,2.445898179
582,66.782,high light,0 min,25.422975,2.367565681
