"","ID","Type","treat1","time","treat2","group","group1","N","value","sd","se","ci"
"1","id","Etio","DAB",0,"ck","Etio_DAB_ck","Etio_DAB",4,15.6876091478883,5.14012654634848,2.57006327317424,8.17908836805871
"2","id","Etio","DAB",0,"treat","Etio_DAB_treat","Etio_DAB",4,14.8616038479288,5.56799844027383,2.78399922013691,8.85992803203744
"3","id","Etio","DAB",10,"ck","Etio_DAB_ck","Etio_DAB",4,18.8321746338432,1.27573853378125,0.637869266890627,2.0299846916701
"4","id","Etio","DAB",10,"treat","Etio_DAB_treat","Etio_DAB",4,48.7105202656945,14.3273253889712,7.16366269448561,22.7979718743645
"5","id","Etio","DAB",15,"ck","Etio_DAB_ck","Etio_DAB",4,25.3849207562671,1.27175835148033,0.635879175740167,2.02365133344114
"6","id","Etio","DAB",15,"treat","Etio_DAB_treat","Etio_DAB",4,53.6818932998275,10.0674222768875,5.03371113844376,16.0195154144058
"7","id","Etio","DAB",20,"ck","Etio_DAB_ck","Etio_DAB",4,27.439407968343,4.74480063951063,2.37240031975531,7.55003663225919
"8","id","Etio","DAB",20,"treat","Etio_DAB_treat","Etio_DAB",4,60.096922641449,10.1400725346946,5.07003626734729,16.1351181866738
"9","id","Etio","DAB",30,"ck","Etio_DAB_ck","Etio_DAB",4,39.8998514511064,2.66346641227028,1.33173320613514,4.2381694214884
"10","id","Etio","DAB",30,"treat","Etio_DAB_treat","Etio_DAB",4,71.6570439884074,4.7548161716908,2.3774080858454,7.5659735789503
"11","id","Etio","DAB",5,"ck","Etio_DAB_ck","Etio_DAB",4,22.2019310156345,1.8459337219515,0.922966860975748,2.93729247661157
"12","id","Etio","DAB",5,"treat","Etio_DAB_treat","Etio_DAB",4,34.8570331169062,5.03443675500467,2.51721837750234,8.01091232507456
"13","id","Etio","DAB",60,"ck","Etio_DAB_ck","Etio_DAB",4,45.9294766897259,9.71859970275958,4.85929985137979,15.4644608582893
"14","id","Etio","DAB",60,"treat","Etio_DAB_treat","Etio_DAB",4,90.6278550735404,11.707007748816,5.85350387440801,18.6284617780736
"15","id","Etio","DPI",0,"ck","Etio_DPI_ck","Etio_DPI",4,20.1203980522045,5.95415000594256,2.97707500297128,9.47438134375843
"16","id","Etio","DPI",0,"treat","Etio_DPI_treat","Etio_DPI",4,20.3538513807876,8.57638486906126,4.28819243453063,13.6469421696176
"17","id","Etio","DPI",10,"ck","Etio_DPI_ck","Etio_DPI",4,21.7625222829062,9.61477125926919,4.80738562963459,15.2992466351046
"18","id","Etio","DPI",10,"treat","Etio_DPI_treat","Etio_DPI",4,25.1281940401002,0.454348754499233,0.227174377249616,0.722970257533168
"19","id","Etio","DPI",15,"ck","Etio_DPI_ck","Etio_DPI",4,21.2423900263384,7.37134690947784,3.68567345473892,11.7294578685161
"20","id","Etio","DPI",15,"treat","Etio_DPI_treat","Etio_DPI",4,26.6084434928421,8.354255734928,4.177127867464,13.2934851485084
"21","id","Etio","DPI",20,"ck","Etio_DPI_ck","Etio_DPI",4,26.7159086370803,4.31325390150783,2.15662695075392,6.86334947130207
"22","id","Etio","DPI",20,"treat","Etio_DPI_treat","Etio_DPI",4,29.3661288025874,4.69875547737714,2.34937773868857,7.47676850420523
"23","id","Etio","DPI",30,"ck","Etio_DPI_ck","Etio_DPI",4,34.0908649880685,5.41393407414897,2.70696703707449,8.61477724566249
"24","id","Etio","DPI",30,"treat","Etio_DPI_treat","Etio_DPI",4,29.0750961708123,4.08102781603689,2.04051390801845,6.49382594745332
"25","id","Etio","DPI",5,"ck","Etio_DPI_ck","Etio_DPI",4,21.4712411639428,8.14386955357432,4.07193477678716,12.9587137857425
"26","id","Etio","DPI",5,"treat","Etio_DPI_treat","Etio_DPI",4,25.9575890001385,9.42551262798404,4.71275631399202,14.9980939191664
"27","id","Etio","DPI",60,"ck","Etio_DPI_ck","Etio_DPI",4,42.970982355708,8.6695511925803,4.33477559629015,13.7951905806476
"28","id","Etio","DPI",60,"treat","Etio_DPI_treat","Etio_DPI",4,40.0680012752693,12.6019633871954,6.3009816935977,20.0525359104503
"29","id","Green","DAB",0,"ck","Green_DAB_ck","Green_DAB",4,20.507609930994,6.24702177405172,3.12351088702586,9.94040568192889
"30","id","Green","DAB",0,"treat","Green_DAB_treat","Green_DAB",4,16.1088939673517,5.51777492068949,2.75888746034475,8.78001120486769
"31","id","Green","DAB",10,"ck","Green_DAB_ck","Green_DAB",4,38.9199116995183,11.3113254241669,5.65566271208346,17.9988429020008
"32","id","Green","DAB",10,"treat","Green_DAB_treat","Green_DAB",4,85.2877363622542,4.55806483232362,2.27903241616181,7.25289829243595
"33","id","Green","DAB",15,"ck","Green_DAB_ck","Green_DAB",4,44.1573367386893,9.75802067386913,4.87901033693457,15.5271884202184
"34","id","Green","DAB",15,"treat","Green_DAB_treat","Green_DAB",4,98.0041859788538,14.898147522193,7.4490737610965,23.7062772687874
"35","id","Green","DAB",20,"ck","Green_DAB_ck","Green_DAB",4,51.3215413702737,12.8867177750028,6.44335888750141,20.5056436851458
"36","id","Green","DAB",20,"treat","Green_DAB_treat","Green_DAB",4,103.371997284175,13.6324494860901,6.81622474304503,21.6922692494871
"37","id","Green","DAB",30,"ck","Green_DAB_ck","Green_DAB",4,50.2616965328993,3.11982890187486,1.55991445093743,4.96434398094449
"38","id","Green","DAB",30,"treat","Green_DAB_treat","Green_DAB",4,109.446005423679,11.3907762272193,5.69538811360963,18.1252668593137
