GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g02100,136.1023657,-0.367390152,0.448065208,-0.819948262,0.412245602,0.574326283,0.240841308
LOC_Os01g02130,42.74335479,1.022711497,1.374326861,0.748595792,0.454100869,0.6121065,0.213173009
LOC_Os01g02170,58.23689979,0.003700667,0.580694818,0.006371488,0.994916322,0.997826637,0.000944907
LOC_Os01g02180,137.9225929,0.408927849,0.467434176,0.874861595,0.381649218,0.544136277,0.264292319
LOC_Os01g02200,256.3864802,0.30960918,0.39479295,0.784216801,0.432912908,0.593443093,0.226620921
LOC_Os01g02280,10.22807166,2.997651934,1.28111872,2.316741537,0.020517815,0.053173311,1.274306297
LOC_Os01g02300,14.19165651,1.60787533,1.109062262,1.447499366,0.147757114,0.270991369,0.567044542
LOC_Os01g02334,12.67686514,-0.002123231,1.221304169,-0.001730992,0.998618869,0.999495141,0.000219313
LOC_Os01g02400,17.59875893,1.402461483,1.115080797,1.258520378,0.208203622,0.350668115,0.455103721
LOC_Os01g02570,10.47366579,-0.553485278,1.209325897,-0.457233849,0.647502971,0.771609751,0.112602293
LOC_Os01g02680,10.79009267,-1.074691913,1.294275573,-0.835833898,0.403248353,0.565957553,0.247216139
LOC_Os01g02720,243.0606611,-0.101152593,0.325924313,-0.310355579,0.75629057,0.852003961,0.069558386
LOC_Os01g02870,150.2171569,-0.36512159,0.415337071,-0.879035034,0.379382281,0.542279914,0.265776482
LOC_Os01g02884,233.0806884,0.130079776,0.307997485,0.422337301,0.672778835,0.7917176,0.1014297
LOC_Os01g02920,15.6084142,-1.143357307,1.197765683,-0.958124567,0.337999949,0.499696279,0.301293884
LOC_Os01g02960,498.4061903,-0.533276828,0.280482808,-1.901303971,0.057262209,0.126166077,0.899057399
LOC_Os01g03030,53.93301555,-0.099247946,0.726330652,-0.136651704,0.891306106,0.938292272,0.027661861
LOC_Os01g03050,21.18389651,0.266791352,1.127174421,0.236462833,0.813073545,0.890983656,0.050130263
LOC_Os01g03060,1150.096702,-0.265636614,0.193351956,-1.373854777,0.169486771,0.30096804,0.52147962
LOC_Os01g03090,261.9774238,-0.463743155,0.323882915,-1.431769901,0.152209684,0.27712271,0.557327882
LOC_Os01g03160,112.9381237,0.179191779,0.455726059,0.393207111,0.694166518,0.807944107,0.092618682
LOC_Os01g03280,20.00683845,-0.98092273,0.978935452,-1.002166081,0.316263387,0.476364772,0.322060363
LOC_Os01g03330,109.3862615,-2.075758635,1.123078456,-1.848965568,0.064462785,0.139109487,0.85664325
LOC_Os01g03500,82.19695121,0.008993203,0.559353175,0.016080381,0.987170265,0.993883939,0.002664328
LOC_Os01g03510,157.8196855,0.84287776,0.428350041,1.967751479,0.04909664,0.111147277,0.954101174
LOC_Os01g03520,363.6899548,0.313111592,0.346760734,0.902981547,0.366535689,0.529156477,0.276415884
LOC_Os01g03750,108.9460116,0.374837377,0.450603966,0.831902493,0.405463984,0.567969162,0.245675244
LOC_Os01g03760,237.5319805,0.535769554,0.335660258,1.596183014,0.110447939,0.215848083,0.665851804
LOC_Os01g03810,89.74495801,-0.43845769,0.507086007,-0.864635211,0.38723904,0.550360688,0.259352595
LOC_Os01g03820,55.70902297,0.8644984,0.581874654,1.485554687,0.137396948,0.256656977,0.590646925
LOC_Os01g03940,116.8882657,-0.454426791,0.611429509,-0.743000654,0.457481284,0.615345371,0.210881062
LOC_Os01g04020,6179.178261,0.373835645,0.14201493,2.632368761,0.008479177,0.024635956,1.608430583
LOC_Os01g04030,67.63665641,0.357415852,0.556056006,0.642859293,0.520315405,0.668873721,0.174655867
LOC_Os01g04100,20.41401583,-0.763275444,1.04595289,-0.730916584,0.464830105,0.6214585,0.206587868
LOC_Os01g04110,43.01114023,0.43503822,0.716854009,0.60709222,0.543789713,0.687591396,0.162669566
LOC_Os01g04120,17.98800468,0.380887651,1.095150846,0.347738594,0.728036509,0.833010409,0.079349572
LOC_Os01g04190,185.4099783,0.66478746,0.368049668,1.806175534,0.070890925,0.150463838,0.822567864
LOC_Os01g04200,125.3168429,0.519324009,0.444967433,1.167087793,0.243174917,0.394861262,0.403555471
LOC_Os01g04260,438.446144,-0.210903478,0.292839552,-0.720208254,0.471396783,0.626882428,0.202813904
LOC_Os01g04324,10.32635577,0.806933245,1.30701012,0.616560302,0.537524786,0.682962457,0.165603169
LOC_Os01g04350,70.16780913,0.493543408,0.596313494,0.8274306,0.407993043,0.570668267,0.243616277
LOC_Os01g04360,70.89906135,-0.339285168,0.520825124,-0.651474711,0.514740097,0.664053555,0.177796894
LOC_Os01g04450,51.76255283,0.727508927,0.688622455,1.056297154,0.290832476,0.449782785,0.346997171
LOC_Os01g04460,27.91334431,-0.345891917,0.8830533,-0.391391203,0.695508094,0.808883004,0.09211429
LOC_Os01g04600,37.29312655,0.36724365,0.682362527,0.538277708,0.590385339,0.725596887,0.139304589
LOC_Os01g04800,15.18188266,2.239637186,1.183401895,1.895488978,0.058027651,0.127513352,0.894444339
LOC_Os01g04860,119.2467866,-0.977793539,0.496183836,-1.970428986,0.048789226,0.110562682,0.956391434
LOC_Os01g04870,107.7994856,0.367668221,0.53924391,0.681845057,0.49533693,0.647324744,0.188877792
LOC_Os01g04880,74.30858253,1.173197297,0.644995385,1.818279239,0.069021464,0.147190915,0.832118995
LOC_Os01g04910,41.21656782,-0.702414403,0.749625762,-0.936507125,0.349012146,0.511984257,0.290743393
LOC_Os01g04920,83.90966728,0.880795746,0.512429841,1.718750267,0.085659855,0.175513473,0.755689539
LOC_Os01g04950,883.1545363,0.369420703,0.212677383,1.737001717,0.082386868,0.170158781,0.769145634
LOC_Os01g05010,121.2894558,-0.084656556,0.459100637,-0.184396803,0.853702177,0.914988249,0.038584484
LOC_Os01g05064,25.00658543,1.593702813,0.933475825,1.704765939,0.088238086,0.1798361,0.745123125
LOC_Os01g05070,77.58892739,1.198066502,0.604012553,1.983243868,0.047340196,0.10791617,0.966913475
LOC_Os01g05105,11.54433913,1.541399686,1.163893645,1.324721438,0.18526356,0.3223678,0.491648345
LOC_Os01g05130,167.3120183,-0.41180602,0.403747396,-1.020017072,0.307720364,0.46780868,0.329931724
LOC_Os01g05140,79.69438698,-0.409523741,0.55905916,-0.732321877,0.463972129,0.620997315,0.206910278
LOC_Os01g05470,81.49257057,0.978920904,0.520247613,1.881456666,0.059909825,0.130736514,0.8836031
LOC_Os01g05490,2925.79918,-0.356277321,0.159828455,-2.229122519,0.025805754,0.064703528,1.189072035
LOC_Os01g05500,1440.831763,-0.553921203,0.186163047,-2.975459853,0.002925496,0.009665255,2.014786667
LOC_Os01g05510,111.2706202,0.299682074,0.509999312,0.587598304,0.55680195,0.698543848,0.155806328
LOC_Os01g05600,10.41927271,1.539464038,1.331759303,1.159372228,0.246304492,0.398544729,0.399522931
LOC_Os01g05610,1231.438795,-0.158221025,0.209434488,-0.755468995,0.449967629,0.608303274,0.215879846
LOC_Os01g05630,174.1252769,-0.572032652,0.35912076,-1.592769665,0.111211873,0.217017612,0.663505019
LOC_Os01g05640,18.29654468,-0.235232399,0.919852371,-0.255938002,0.797998711,0.881400134,0.054826888
LOC_Os01g05660,299.4937491,-0.428005234,0.283733555,-1.508445176,0.131440628,0.247617589,0.606218509
LOC_Os01g05790,194.1047173,-0.733318868,0.350273252,-2.093513835,0.03630331,0.086203243,1.064476395
LOC_Os01g05830,64.19090494,-0.463048885,0.619465154,-0.747280403,0.454894319,0.612756121,0.212712342
LOC_Os01g05860,11.30887136,0.68752656,1.146733009,0.599560413,0.548799236,0.691868673,0.159976333
LOC_Os01g06000,19.39882257,0.783821666,1.05716634,0.741340687,0.458486898,0.616223934,0.210261438
LOC_Os01g06270,252.5069302,-0.56972626,0.324879814,-1.753667223,0.079487545,0.165283321,0.781770971
LOC_Os01g06290,405.6876366,0.127336992,0.277970569,0.458086434,0.646890345,0.771113284,0.112881815
LOC_Os01g06470,15.35686967,1.476770786,1.0544679,1.401286539,0.161128405,0.288947758,0.539180671
