"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"BSS_0_1",0,78.3365308008458,69.0033468291356,171.497385558992,174.235468794915,164.82998546327
"BSS_0_2",78.3365308008458,0,79.1940098027935,169.012345218351,170.449447082153,161.476698050243
"BSS_0_3",69.0033468291356,79.1940098027935,0,174.72142303226,176.224119249443,166.552941057357
"M_0_1",171.497385558992,169.012345218351,174.72142303226,0,70.7848676959844,69.6725357225679
"M_0_2",174.235468794915,170.449447082153,176.224119249443,70.7848676959844,0,73.8040406917447
"M_0_3",164.82998546327,161.476698050243,166.552941057357,69.6725357225679,73.8040406917447,0
