Family,GENEID,Name,Name1,Description,,subcellular localization,(subcellular localization),
calvin_cycle,LOC_Os03g03720,GADPH,GADPH,,GADPH,Chloroplast,(Chloroplast),
calvin_cycle,LOC_Os08g34210,OsGAPDH,OsGAPDH,,OsGAPDH,,(),
calvin_cycle,LOC_Os08g03290,OsGAPDH; OsGAPC3,OsGAPDH; OsGAPC3,,OsGAPDH; OsGAPC3,Cytoplasm,(Cytoplasm),
calvin_cycle,LOC_Os01g62420,OscTPI,OscTPI,,OscTPI,Cytosol,(Cytosol),
calvin_cycle,LOC_Os01g05490,TPI,TPI,,TPI,Cytoplasm?,(Cytoplasm?),
calvin_cycle,LOC_Os05g33840,OsTKL1,OsTKL1,,OsTKL1,Chloroplast,(Chloroplast),
calvin_cycle,LOC_Os06g04270,OsTK,OsTK,,OsTK,Cytosol,(Cytosol),
calvin_cycle,LOC_Os03g07300,RPE,RPE,,RPE,Chloroplast,(Chloroplast),
calvin_cycle,LOC_Os11g47970,OsrcaA1|OsrcaA2,OsrcaA1|OsrcaA2,,OsrcaA1|OsrcaA2,Chloroplast,(Chloroplast),
cytochrome_c6,LOC_Os03g03949,PEFJ,PEFJ,Os03g0131500,PEFJ,Membrane,(Membrane),
cytochrome_c6,LOC_Os08g01380,PETF,PETF,Os08g0104600,PETF,Chloroplast,(Chloroplast),
cytochrome_c6,LOC_Os07g05400,PETH,PETH1,Os07g0147900,PETH,Chloroplast,(Chloroplast),
cytochrome_c6,LOC_Os06g01850,PETH,PETH2,Os06g0107700,PETH,Chloroplast,(Chloroplast),
Rubisco,LOC_Os06g01210,PETE,PETE,Os06g0101600,PETE,Chloroplast,(Chloroplast),
Rubisco,LOC_Os02g05830,OsRbcS1,OsRbcS1,,OsRbcS1,plastid,(plastid),
Rubisco,LOC_Os12g17600,OsRbcS2,OsRbcS2,,OsRbcS2,Chloroplast,(Chloroplast),
Rubisco,LOC_Os12g19381,OsRBCS3|OsRBCS5,OsRBCS3|OsRBCS5,,#N/A,Chloroplast,(Chloroplast),
Rubisco,LOC_Os12g19470,OsRbcS4,OsRbcS4,,OsRbcS4,Chloroplast,(Chloroplast),
photorespiration,LOC_Os07g42440,GLO4,GLO4,,GLO4,Peroxisome,(Peroxisome),
photorespiration,LOC_Os04g53210,GLO2,GLO2,,#N/A,Peroxisome,(Peroxisome),
photorespiration,LOC_Os07g05820,GLO3,GLO3,,GLO3,Peroxisome,(Peroxisome),
photorespiration,LOC_Os03g57220,GLO1,GLO1,,GLO1,Peroxisome,(Peroxisome),
photorespiration,LOC_Os10g37180,OsGDCH,OsGDCH,,OsGDCH,Mitochondrion,(Mitochondrion),
photorespiration,LOC_Os03g52840,OsSHM1|OsSHMT1,OsSHM1|OsSHMT1,,OsSHM1|OsSHMT1,Mitochondrion,(Mitochondrion),
photorespiration,LOC_Os01g12830,OsHPR2,OsHPR2,,OsHPR2,Cytosol,(Cytosol),
photorespiration,LOC_Os02g01150,OsHPR1,OsHPR1,,OsHPR1,Cytosol,(Cytosol),
NPQ,LOC_Os01g64960,OsPsbS1,PSII,,OsPsbS1,Chloroplast,(Chloroplast),
NPQ,LOC_Os04g59440,OsPsbS2,PSII,,OsPsbS2,Chloroplast,(Chloroplast),
NPQ,LOC_Os04g31040,OsVDE1,xanthophyll cycle,,OsVDE1,Chloroplast,(Chloroplast),
NPQ,LOC_Os01g51860,OsVDE2,xanthophyll cycle,,OsVDE2,Cytosol,(Cytosol),
NPQ,LOC_Os04g37619,OsZEP1,xanthophyll cycle,,OsZEP1,Chloroplast,(Chloroplast),
carotenoids,LOC_Os06g51290,PSY1,,,,,,
carotenoids,LOC_Os12g43130,PSY2,,,,,,
carotenoids,LOC_Os09g38320,OsPSY,,,,,,
Carotenoid_pathway,LOC_Os03g08570,OsPDS,OsPDS,,OsPDS,Chloroplast,(Chloroplast),
Carotenoid_pathway,LOC_Os07g10490,OsZDS,OsZDS,,OsZDS,Chloroplast,(Chloroplast),
Carotenoid_pathway,LOC_Os11g36440,OsCRTISO,OsCRTISO|ZEBRA2|PHS3|ZL2|MHZ5,,OsCRTISO|ZEBRA2|PHS3|ZL2|MHZ5,plastid,(plastid),
Carotenoid_pathway,LOC_Os02g09750,OsLCY|zebra524,??-OsLCY|zebra524,,<U+00A6><c2>-OsLCY|zebra524,plastid,(plastid),
carotenoids,LOC_Os01g39960,OsLCYe,,,,,,
Carotenoid_pathway,LOC_Os04g37619,OsZEP1|OsABA1,OsZEP1,,OsZEP1,Chloroplast,(Chloroplast),
Carotenoid_pathway,LOC_Os04g31040,OsVDE1,OsVDE1,,OsVDE1,Chloroplast,(Chloroplast),
Carotenoid_pathway,LOC_Os01g51860,OsVDE2,OsVDE2,,OsVDE2,Cytosol,(Cytosol),
