"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"ChrSy.fgenesh.gene.25",2.70887606211285,35.488039754815,5.36897617644784,5.50831226672846,17.3342091339615,7.49974945034127
"ChrSy.fgenesh.gene.28",304.748556987696,219.687865148855,198.115220910925,948.53137233064,822.587015266172,843.721813163392
"ChrSy.fgenesh.gene.29",52.8230832112006,0,0,15.4232743468397,0,17.8119049445605
"ChrSy.fgenesh.gene.49",10.8355042484514,20.2788798598943,28.4555737351736,47.3714854938647,7.87918596998249,14.9994989006825
"ChrSy.fgenesh.gene.86",6.77219015528213,18.5889732049031,1.07379523528957,101.352945707804,40.1838484469107,45.9359653833402
"ChrUn.fgenesh.gene.20",1.35443803105643,20.2788798598943,49.3945808233202,0,0,0
"ChrUn.fgenesh.gene.24",46.0508930559185,33.7981330998238,54.763556999768,132.199494401483,104.005254803769,103.121554942192
"ChrUn.fgenesh.gene.85",59.5952733664827,57.4568262697005,82.145335499652,3.30498736003707,11.0308603579755,1.87493736258532
"ChrUn.fgenesh.gene.96",20.3165704658464,28.7284131348503,23.6234951763705,1.10166245334569,6.30334877598599,2.81240604387797
"LOC_Os01g01010",238.381093465931,177.440198774075,141.740971058223,394.395158297758,319.107031784291,185.618798895946
"LOC_Os01g01030",40.6331409316928,25.3485998248679,60.6694307938606,9.91496208011123,2.36375579099475,27.1865917574871
"LOC_Os01g01040",1002.28414298175,841.573514185614,815.547481202428,507.866390992364,468.02364661696,537.169554380693
"LOC_Os01g01050",158.469249633602,145.331972329242,150.33133294054,224.739140482521,256.073544024431,224.992483510238
"LOC_Os01g01060",376.533772633686,343.051050963212,382.271103763087,215.925840855756,446.749844498007,316.864414276918
"LOC_Os01g01070",262.760978024946,182.509918739049,216.906637528493,128.894507041446,210.374265398532,148.12005164424
"LOC_Os01g01080",284.431986521849,292.353851313476,369.385560939612,213.722515949064,235.587660502476,252.179075267725
"LOC_Os01g01120",964.359878112175,897.340433800323,811.789197878914,6018.38198262751,6761.12948084197,4873.89967404053
