"","TXNAME","GENEID"
"3931","LOC_Os01g37780.1","LOC_Os01g37780"
"3932","LOC_Os01g37790.1","LOC_Os01g37790"
"3933","LOC_Os01g37800.1","LOC_Os01g37800"
"3934","LOC_Os01g37810.1","LOC_Os01g37810"
"3935","LOC_Os01g37820.1","LOC_Os01g37820"
"3936","LOC_Os01g37825.2","LOC_Os01g37825"
"3937","LOC_Os01g37825.1","LOC_Os01g37825"
"3938","LOC_Os01g37832.1","LOC_Os01g37832"
"3939","LOC_Os01g37832.2","LOC_Os01g37832"
"3940","LOC_Os01g37832.3","LOC_Os01g37832"
"3941","LOC_Os01g37837.3","LOC_Os01g37837"
"3942","LOC_Os01g37837.1","LOC_Os01g37837"
"3943","LOC_Os01g37837.2","LOC_Os01g37837"
"3944","LOC_Os01g37842.1","LOC_Os01g37842"
"3945","LOC_Os01g37850.1","LOC_Os01g37850"
"3946","LOC_Os01g37860.1","LOC_Os01g37860"
"3947","LOC_Os01g37870.4","LOC_Os01g37870"
"3948","LOC_Os01g37870.3","LOC_Os01g37870"
"3949","LOC_Os01g37870.2","LOC_Os01g37870"
"3950","LOC_Os01g37870.1","LOC_Os01g37870"
"3951","LOC_Os01g37880.1","LOC_Os01g37880"
"3952","LOC_Os01g37890.1","LOC_Os01g37890"
"3953","LOC_Os01g37900.1","LOC_Os01g37900"
"3954","LOC_Os01g37910.1","LOC_Os01g37910"
"3955","LOC_Os01g37910.3","LOC_Os01g37910"
"3956","LOC_Os01g37910.2","LOC_Os01g37910"
"3957","LOC_Os01g37920.1","LOC_Os01g37920"
"3958","LOC_Os01g37930.1","LOC_Os01g37930"
"3959","LOC_Os01g37940.1","LOC_Os01g37940"
"3960","LOC_Os01g37950.1","LOC_Os01g37950"
"3961","LOC_Os01g37960.1","LOC_Os01g37960"
"3962","LOC_Os01g37970.1","LOC_Os01g37970"
"3963","LOC_Os01g37980.1","LOC_Os01g37980"
"3964","LOC_Os01g37990.1","LOC_Os01g37990"
"3965","LOC_Os01g38000.1","LOC_Os01g38000"
"3966","LOC_Os01g38010.1","LOC_Os01g38010"
"3967","LOC_Os01g38020.1","LOC_Os01g38020"
"3968","LOC_Os01g38030.1","LOC_Os01g38030"
"3969","LOC_Os01g38040.1","LOC_Os01g38040"
"3970","LOC_Os01g38058.1","LOC_Os01g38058"
"3971","LOC_Os01g38070.1","LOC_Os01g38070"
"3972","LOC_Os01g38090.1","LOC_Os01g38090"
"3973","LOC_Os01g38100.1","LOC_Os01g38100"
"3974","LOC_Os01g38110.1","LOC_Os01g38110"
"3975","LOC_Os01g38120.1","LOC_Os01g38120"
"3976","LOC_Os01g38130.1","LOC_Os01g38130"
"3977","LOC_Os01g38140.1","LOC_Os01g38140"
"3978","LOC_Os01g38150.1","LOC_Os01g38150"
"3979","LOC_Os01g38160.1","LOC_Os01g38160"
"3980","LOC_Os01g38170.1","LOC_Os01g38170"
"3981","LOC_Os01g38180.1","LOC_Os01g38180"
"3982","LOC_Os01g38190.1","LOC_Os01g38190"
