parameter,Light,start,end
Fq'/Fv' (PQ),Dark, -Inf,-20
Fq'/Fv' (PQ),LL,-20,0
Fq'/Fv' (PQ),HL,0,Inf
Fq'/Fv' (PQ),Dark, -Inf,-20
Fq'/Fv' (PQ),LL,-20,0
Fq'/Fv' (PQ),HL,0,Inf
Fm/Fm'-1 (NPQ),Dark, -Inf,-20
Fm/Fm'-1 (NPQ),LL,-20,0
Fm/Fm'-1 (NPQ),HL,0,Inf
Fm/Fm'-1 (NPQ),Dark, -Inf,-20
Fm/Fm'-1 (NPQ),LL,-20,0
Fm/Fm'-1 (NPQ),HL,0,Inf
