"","ID","treat1","time","treat2","group","N","value","sd","se","ci"
"1","id","DAB","0","CK","DAB_CK",4,23.0925021849557,3.70830486738238,1.85415243369119,5.90074056203333
"2","id","DAB","0","HL","DAB_HL",4,22.7291063432938,2.75768452399182,1.37884226199591,4.38809146225791
"3","id","DAB","10","CK","DAB_CK",4,38.2114218973225,12.5046558318067,6.25232791590334,19.8976978753888
"4","id","DAB","10","HL","DAB_HL",4,74.8121228074888,13.6111512653324,6.8055756326662,21.6583790275074
"5","id","DAB","15","CK","DAB_CK",4,41.2213486469532,14.5068682188117,7.25343410940584,23.0836645820974
"6","id","DAB","15","HL","DAB_HL",4,80.8206347259878,12.7175577131887,6.35877885659437,20.2364722782849
"7","id","DAB","20","CK","DAB_CK",4,42.6568485055209,4.11654924014403,2.05827462007202,6.55034845990741
"8","id","DAB","20","HL","DAB_HL",4,87.4134282284769,16.1290147060748,8.06450735303741,25.6648616296072
"9","id","DAB","30","CK","DAB_CK",4,46.973225936635,13.2320993382742,6.61604966913711,21.0552228251189
"10","id","DAB","30","HL","DAB_HL",4,93.556773317065,25.0464788530695,12.5232394265348,39.8545370431588
"11","id","DAB","5","CK","DAB_CK",4,35.604243590255,29.5228210595954,14.7614105297977,46.9773964013306
"12","id","DAB","5","HL","DAB_HL",4,60.1448791345365,8.81519327645973,4.40759663822986,14.0269396365155
"13","id","DAB","60","CK","DAB_CK",4,52.7176367525332,7.34807913091772,3.67403956545886,11.6924336405607
"14","id","DAB","60","HL","DAB_HL",4,102.50059897875,9.2301932661995,4.61509663309975,14.6872972285356
"15","id","DCMU","0","CK","DCMU_CK",4,16.7178546906545,3.80786006110712,1.90393003055356,6.05915509125387
"16","id","DCMU","0","HL","DCMU_HL",4,17.8996303522024,4.21854519814989,2.10927259907495,6.71264678976222
"17","id","DCMU","10","CK","DCMU_CK",4,34.0485990333471,11.278445976136,5.63922298806798,17.9465243630479
"18","id","DCMU","10","HL","DCMU_HL",4,56.1860431604662,7.77105728397117,3.88552864198558,12.365486270761
"19","id","DCMU","15","CK","DCMU_CK",4,33.7649984800953,11.9250962962596,5.96254814812979,18.9754893240919
"20","id","DCMU","15","HL","DCMU_HL",4,56.3859169465152,8.31988400080141,4.15994200040071,13.2387920493697
"21","id","DCMU","20","CK","DCMU_CK",4,37.1060764023642,11.9746732836601,5.98733664183004,19.0543773742818
"22","id","DCMU","20","HL","DCMU_HL",4,63.1681141188901,6.26028598160143,3.13014299080072,9.96151199608343
"23","id","DCMU","30","CK","DCMU_CK",4,36.444678397076,10.0702783702295,5.03513918511473,16.0240600962576
"24","id","DCMU","30","HL","DCMU_HL",4,66.8396582101919,10.8444358855531,5.42221794277654,17.2559174584322
"25","id","DCMU","5","CK","DCMU_CK",4,27.7125513628651,7.3392885536513,3.66964427682565,11.6784458704893
"26","id","DCMU","5","HL","DCMU_HL",4,43.6203961645408,9.33268751078854,4.66634375539427,14.8503884435382
"27","id","DCMU","60","CK","DCMU_CK",4,40.879123813914,5.78415800177312,2.89207900088656,9.20388613096003
"28","id","DCMU","60","HL","DCMU_HL",4,71.441079887903,9.24718986160818,4.62359493080409,14.714342604666
