"","Line","time","treat1","group1","N","value","sd","se","ci"
"1","mutant","15min","Dark","mutant_Dark",4,29.10699329,11.5985066502648,5.79925332513239,18.4558123179718
"2","mutant","15min","HL","mutant_HL",4,85.9796876625,11.3264884513741,5.66324422568703,18.022970661957
"3","OE","15min","Dark","OE_Dark",4,28.5204100325,2.6588534806575,1.32942674032875,4.23082921790459
"4","OE","15min","HL","OE_HL",4,91.7905568875,12.2977027877519,6.14885139387593,19.568389400179
"5","NIP","15min","Dark","NIP_Dark",4,33.1872710925,6.67317613863764,3.33658806931882,10.6185123734574
"6","NIP","15min","HL","NIP_HL",4,83.946798355,7.26788252257182,3.63394126128591,11.5648229405974
